Instances,,,CAmpactor (gamma=100),,,,CAmpactor (gamma=1000),,,,CAmpactor (gamma=10000),,,,CAmpactor (gamma=100000),
,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime
integrator_arm9,,80,85.6,60.2840,,63,67.0,123.5420,,58,60.1,324.8720,,54,56.6,1469.0970
ipaq,,66,72.5,42.8290,,48,53.2,87.2730,,45,46.6,214.2650,,41,42.3,901.6750
iq80310,,68,74.8,46.3510,,55,57.1,90.0790,,46,49.4,267.9990,,44,45.6,1203.7790
iq80321,,72,76.7,44.0600,,53,57.7,88.2700,,48,50.0,226.4180,,43,44.8,1096.7550
ixdp425,,71,77.4,44.5400,,54,57.8,89.6050,,47,49.3,242.8000,,43,45.0,1090.3100
jmr3904,,65,70.2,39.1040,,48,53.6,72.5700,,45,46.4,173.4720,,41,42.0,946.2740
jtst,,64,74.8,42.1140,,50,55.4,82.6620,,44,45.8,277.8560,,41,42.0,1157.4310
linux,,72,80.3,48.6510,,56,61.1,102.8230,,51,53.9,279.1990,,49,50.9,1270.4710
lpcmt,,64,70.6,45.5310,,51,53.6,86.5150,,43,45.9,270.4730,,41,42.0,1257.6440
m5272c3,,73,78.5,58.3150,,56,60.0,113.3610,,50,51.9,276.8600,,45,46.6,1583.6240
mac7100evb,,65,70.1,44.3940,,51,54.0,79.8800,,43,45.0,236.6980,,40,41.4,1259.0480
mace1,,63,69.4,43.9980,,51,54.2,83.3710,,44,45.7,261.9790,,41,41.9,1111.3370
malta_mips32_4kc,,73,79.4,45.9650,,57,58.8,94.2830,,47,49.9,244.1610,,43,45.0,1468.1560
malta_mips64_5kc,,69,76.0,47.7080,,54,58.5,93.9810,,47,49.0,299.8100,,45,45.6,1285.8350
mb93091,,68,75.6,46.3800,,53,56.2,97.5140,,47,48.4,307.0120,,42,44.6,1515.9660
mb93093,,70,76.2,43.6960,,55,57.6,91.1390,,46,48.7,299.0760,,43,44.2,1345.1730
mbx,,69,74.2,51.4530,,52,56.1,100.5540,,48,49.8,292.3810,,44,45.1,1472.4620
mcb2100,,66,74.9,40.8300,,50,52.9,91.3660,,44,45.0,253.8680,,41,42.0,1015.7740
moab,,77,80.2,51.7990,,58,59.5,111.8640,,49,51.2,320.4540,,46,47.4,1297.3840
mpc50,,65,73.8,38.6130,,50,52.5,84.6760,,43,45.0,253.2570,,40,41.7,959.5260
nano,,75,81.2,53.4090,,58,61.0,114.0770,,51,53.6,331.0430,,47,49.5,1681.6090
npwr,,71,78.6,43.4080,,54,58.1,90.3110,,47,48.8,324.4070,,43,44.8,1394.4280
ocelot,,71,76.6,46.3220,,56,57.8,95.0490,,48,49.0,328.4790,,44,45.1,1250.5910
olpce2294,,70,75.8,53.7030,,54,56.8,112.6520,,48,49.7,314.2180,,44,45.8,1176.5740
olpch2294,,68,71.9,47.7180,,51,54.5,96.6270,,44,45.9,277.4770,,41,42.3,1064.6410
olpcl2294,,71,76.7,51.9720,,56,59.2,103.1630,,48,50.1,280.4750,,44,45.5,1407.4650
p2106,,66,70.8,45.5710,,51,53.7,85.8150,,43,45.2,275.0970,,41,42.4,1038.4300
pati,,63,72.9,42.8110,,51,54.3,84.9300,,43,44.7,298.1170,,40,41.8,1048.0660
pc_i82544,,74,77.7,50.0580,,54,57.6,114.4410,,48,49.8,314.1760,,44,45.8,1714.9200
pc_i82559,,73,78.1,50.0890,,55,57.9,99.0720,,47,49.4,316.9590,,44,45.5,1213.0500
pc_rltk8139,,75,79.7,54.3540,,59,62.5,101.1520,,53,55.0,306.3100,,48,50.0,1447.1370
pc_usb_d12,,67,73.9,48.1620,,52,56.4,93.9520,,45,47.1,278.8120,,41,42.2,1393.9560
pc_vmWare,,71,78.9,48.1200,,53,56.1,112.7910,,46,49.3,348.9530,,44,45.3,1182.0990
phycore,,62,72.5,46.6950,,51,54.0,93.1030,,43,45.4,325.8150,,41,42.5,1092.5390
phycore229x,,69,76.8,58.5810,,53,54.6,143.2550,,48,49.7,313.9900,,45,45.4,1501.9020
picasso,,65,71.4,50.5610,,52,56.1,96.6740,,46,48.1,280.7770,,44,44.6,1162.9900
pid,,62,72.1,42.5470,,50,53.7,81.9470,,44,45.1,264.9550,,41,42.0,884.0560
prpmc1100,,67,72.2,40.8020,,50,53.6,86.8520,,43,45.8,268.1140,,40,41.4,1108.7620
psim,,62,70.0,36.8460,,49,53.2,72.4760,,42,45.3,229.3210,,40,40.8,1008.4510
rattler,,73,81.1,57.9100,,56,60.3,123.6680,,51,52.8,367.0990,,48,49.3,1540.2410
ref4955,,60,70.4,42.3580,,49,52.4,91.9600,,44,44.8,265.1530,,41,41.7,1115.3190
refidt334,,71,78.1,53.3950,,58,60.7,109.3750,,52,54.6,252.8090,,46,48.7,1618.8680
sa1100mm,,66,71.9,42.2700,,48,51.7,92.7820,,44,45.2,249.7290,,41,42.0,984.3460
sam7ex256,,70,76.6,56.7230,,54,57.0,121.3750,,47,50.3,293.1680,,44,45.1,1852.2340
se7751,,78,84.2,56.2840,,60,63.5,116.8180,,52,54.2,337.9600,,47,49.1,1605.4590
sh4_202_md,,76,84.0,48.7610,,59,60.8,111.5730,,51,53.4,321.9950,,48,49.4,1250.8740
sh7708,,78,84.3,61.8140,,63,65.0,139.2250,,56,57.9,399.5370,,52,53.6,2014.6200
skmb91302,,64,68.7,42.4110,,49,52.4,82.6170,,44,45.6,224.3600,,41,41.8,1025.3460
sleb,,63,67.3,39.2670,,51,53.2,69.7050,,43,44.5,229.7460,,41,42.1,824.8230
