Instances,,,CAmpactor,,,,CAmpactor-Short,,,,SamplingCA,,,,AutoCCAG,,,,FastCA,,,,TCA,,,,HHSA,,,,CASA,,,,ACTS,,,,CTLog,
,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime
cme555,,44,46.2,223.8710,,77,83.0,37.0770,,96,101.6,30.4510,,79,83.4,294.4320,,80,84.4,116.7490,,91,96.4,37.0770,,-,-,-,,-,-,-,,-,-,-,,-,-,-
cq7708,,54,58.0,341.0840,,102,106.8,39.6000,,119,122.7,35.1270,,100,103.1,667.5120,,98,102.9,513.3470,,109,116.8,39.6000,,-,-,-,,-,-,-,,-,-,-,,-,-,-
cq7750,,44,46.6,241.9970,,81,84.8,37.7060,,103,105.3,31.3600,,84,87.9,377.0350,,85,88.1,341.2330,,92,99.2,37.7060,,-,-,-,,-,-,-,,-,-,-,,-,-,-
csb281,,52,53.4,283.4080,,90,93.5,38.3020,,109,112.6,32.2920,,89,94.4,404.7580,,89,94.6,503.6430,,102,107.0,38.3020,,-,-,-,,-,-,-,,-,-,-,,-,-,-
dreamcast,,50,53.2,273.9140,,87,94.1,40.1340,,109,113.4,33.7010,,89,95.2,54.6310,,89,95.6,391.4770,,102,107.7,40.1340,,-,-,-,,-,-,-,,-,-,-,,-,-,-
e7t,,48,50.1,247.0220,,85,90.0,39.1870,,106,109.1,32.4990,,88,91.1,468.7240,,88,91.0,215.5410,,99,103.7,39.1870,,-,-,-,,-,-,-,,-,-,-,,-,-,-
ea2468,,47,49.2,313.5180,,91,93.2,45.7930,,106,110.3,39.3340,,91,94.1,362.2450,,90,93.9,469.0140,,103,105.5,45.7930,,-,-,-,,-,-,-,,-,-,-,,-,-,-
eb40,,44,46.0,242.0950,,77,80.1,37.7550,,99,103.4,29.8720,,81,85.5,57.2900,,81,85.2,599.4510,,91,96.5,37.7550,,-,-,-,,-,-,-,,-,-,-,,-,-,-
eb40a,,45,46.4,226.7000,,77,80.8,37.0010,,99,103.6,29.8530,,81,85.1,498.8140,,81,85.0,630.3630,,94,97.2,37.0010,,-,-,-,,-,-,-,,-,-,-,,-,-,-
eb42,,44,45.4,282.7950,,78,82.8,35.3970,,97,102.3,29.2190,,83,85.7,547.0040,,83,85.4,401.4630,,93,96.0,35.3970,,-,-,-,,-,-,-,,-,-,-,,-,-,-
