Instances,,,AutoCCAG (using SamplingCA as its initialization algorithm),,,,AutoCCAG (using its original initialization algorithm),,,,FastCA (using SamplingCA as its initialization algorithm),,,,FastCA (using its original initialization algorithm),,,,TCA (using SamplingCA as its initialization algorithm),,,,TCA (using its original initialization algorithm),
,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime
eb55,,83,87.2,360.5710,,162,169.9,1125.6650,,84,87.3,263.9210,,162,169.9,1468.2480,,93,96.5,39.4380,,193,202.3,953.8940
ebsa285,,95,96.8,345.1940,,194,201.3,1432.5560,,95,96.8,190.3810,,193,201.0,1336.6190,,105,108.3,39.1320,,228,244.8,953.9940
ec555,,81,85.3,1065.5190,,159,166.0,1462.8400,,82,85.2,345.8320,,159,165.2,1184.9610,,91,96.8,37.9940,,197,204.5,902.2730
ecos-icse11,,88,91.9,589.8800,,268,280.3,1872.0270,,89,92.4,352.3320,,268,280.9,2235.8810,,99,102.0,39.5670,,335,364.3,925.8700
edb7xxx,,86,90.2,66.1870,,174,184.2,1954.1380,,87,90.3,212.8920,,176,184.3,1277.9060,,96,101.9,38.4640,,213,223.4,917.5110
edosk2674,,84,89.1,51.2310,,166,176.1,908.8400,,84,88.8,573.7290,,165,175.8,1250.4900,,92,100.0,35.5210,,207,215.0,799.7350
excalibur_arm9,,100,103.6,157.1080,,193,201.1,1968.7250,,100,104.0,543.1090,,194,200.8,2639.4850,,110,116.2,42.4320,,229,239.5,1292.4620
fads,,81,83.3,356.5930,,148,156.8,1571.9800,,80,82.6,377.1080,,149,157.6,995.5940,,91,94.3,33.0710,,185,191.2,737.3910
flexanet,,89,93.2,476.7290,,186,196.2,1544.5160,,90,93.0,304.2290,,185,196.3,1544.2900,,101,104.8,41.6830,,224,236.0,973.6560
freebsd-icse11,,78,82.2,2639.1260,,172,186.2,3551.6730,,81,83.4,2076.5930,,177,187.3,3568.5980,,101,108.4,74.4790,,225,235.5,2598.3850
