Instances,,,AutoCCAG,,,,Alt-A,,,,FastCA,,,,Alt-F,,,,TCA,,,,Alt-T,
,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime
ec555,,81,85.3,1065.5190,,44,45.2,1277.4270,,82,85.2,345.8320,,44,46.2,534.1770,,91,96.8,37.9940,,44,45.8,233.9030
ecos-icse11,,88,91.9,589.8800,,47,48.6,786.2020,,89,92.4,352.3320,,47,49.7,544.7760,,99,102.0,39.5670,,46,49.6,224.6800
edb7xxx,,86,90.2,66.1870,,45,50.0,272.9070,,87,90.3,212.8920,,47,48.8,452.9630,,96,101.9,38.4640,,48,49.0,243.6630
edosk2674,,84,89.1,51.2310,,47,49.0,279.0040,,84,88.8,573.7290,,47,48.8,756.4670,,92,100.0,35.5210,,48,49.5,204.5410
excalibur_arm9,,100,103.6,157.1080,,55,57.4,510.9530,,100,104.0,543.1090,,57,58.9,805.8270,,110,116.2,42.4320,,55,57.1,351.6610
fads,,81,83.3,356.5930,,43,45.1,553.1280,,80,82.6,377.1080,,43,45.1,558.0140,,91,94.3,33.0710,,44,45.6,201.0740
flexanet,,89,93.2,476.7290,,48,49.7,736.2710,,90,93.0,304.2290,,48,49.5,577.7250,,101,104.8,41.6830,,47,49.3,278.7110
freebsd-icse11,,78,82.2,2639.1260,,49,53.0,3012.7720,,81,83.4,2076.5930,,51,53.1,2335.9370,,101,108.4,74.4790,,50,53.1,504.0330
frv400,,85,89.8,398.7490,,46,48.8,605.1810,,84,89.3,147.8500,,46,48.2,387.3140,,95,100.4,39.0230,,47,49.0,232.1130
gps4020,,82,84.9,350.6170,,43,46.2,526.0470,,81,84.7,149.3570,,44,45.9,350.7530,,91,97.3,33.9890,,44,46.2,203.1910
grg,,86,89.8,330.2100,,48,49.5,548.6410,,87,90.3,159.8790,,46,48.5,381.0130,,96,101.2,37.1720,,48,49.4,213.5900
h8300h_sim,,80,82.9,508.2230,,43,45.1,675.3270,,80,82.6,365.4450,,43,45.1,549.5380,,91,94.2,33.5180,,43,44.8,177.8060
h8max,,86,88.5,895.2590,,46,48.8,1115.4710,,85,88.8,103.8240,,47,48.7,331.9320,,96,100.9,36.6500,,47,48.8,257.3020
h8s_sim,,76,81.3,695.0520,,44,45.0,855.2940,,78,81.2,142.5870,,42,44.7,335.5790,,88,92.1,33.1690,,42,44.8,211.1860
hs7729pci,,112,119.1,266.7270,,63,65.1,654.8270,,112,119.0,763.1500,,63,64.8,1104.0410,,126,130.9,53.0570,,64,64.9,448.7100
innovator,,115,119.6,198.8600,,63,66.3,607.0020,,113,119.0,641.1650,,64,66.8,1024.6820,,128,132.5,49.6750,,64,65.8,441.1820
integrator_arm7,,86,90.2,107.0160,,47,50.0,322.7970,,86,90.2,558.5570,,46,49.2,821.1290,,99,103.2,39.2740,,47,48.9,226.4630
integrator_arm9,,101,105.0,383.0710,,58,60.1,706.3310,,101,105.1,886.6670,,57,60.1,1239.6520,,115,117.1,43.3300,,59,60.4,281.4120
ipaq,,82,86.2,89.7100,,44,45.9,301.0280,,82,86.3,414.9470,,44,46.4,647.2360,,95,98.1,37.1550,,44,46.1,233.6490
iq80310,,84,89.8,596.0360,,47,48.9,798.0200,,85,90.0,336.7100,,48,49.6,522.4940,,97,100.2,39.4110,,48,49.8,234.4810
iq80321,,87,90.2,453.1060,,47,49.0,687.8260,,88,91.0,295.3900,,46,49.2,484.1350,,93,100.0,40.4490,,47,49.6,281.4820
ixdp425,,84,88.6,672.5060,,47,49.3,867.6750,,85,88.9,127.2250,,47,48.3,372.2430,,96,101.6,39.0700,,47,49.4,263.7010
jmr3904,,81,84.1,1131.7590,,43,45.4,1348.8910,,80,83.9,114.2940,,44,45.5,303.7260,,89,94.8,35.2120,,44,46.0,190.5950
jtst,,83,86.6,568.7010,,44,46.3,765.0440,,84,86.2,122.9060,,43,46.0,333.8160,,93,98.1,36.0410,,45,46.8,210.1890
linux,,94,97.6,257.0280,,52,54.6,470.9400,,92,97.7,163.2050,,52,54.3,412.2570,,106,110.0,38.2220,,51,54.5,252.9050
lpcmt,,81,85.8,331.4760,,45,46.5,542.8690,,81,85.6,140.8010,,43,45.4,356.4370,,93,97.5,36.7070,,43,45.4,276.0830
m5272c3,,91,95.9,67.5290,,48,50.5,377.7800,,90,95.8,384.4510,,49,50.8,680.5130,,101,107.6,45.6940,,48,50.7,328.6580
mac7100evb,,80,83.2,302.6610,,45,46.1,503.6260,,81,83.8,149.2750,,43,44.6,381.4250,,90,95.7,37.0150,,42,44.8,257.9030
mace1,,80,83.9,663.1160,,44,46.1,865.4700,,80,83.9,135.3830,,42,45.1,347.9050,,93,96.5,34.5430,,43,45.5,213.3160
malta_mips32_4kc,,88,91.9,596.1260,,47,50.1,814.4510,,88,91.6,148.6860,,48,49.6,356.1800,,101,106.0,38.5040,,47,49.5,252.8980
malta_mips64_5kc,,85,91.3,291.8800,,46,49.3,533.0970,,85,91.1,240.5400,,48,50.6,415.6460,,100,103.7,38.7870,,48,48.8,249.8550
mb93091,,85,89.3,325.9230,,46,47.9,575.8680,,84,89.2,493.4880,,47,48.7,700.9840,,97,101.5,38.2920,,46,48.1,287.8440
mb93093,,88,90.4,328.8060,,47,49.0,518.3250,,88,90.6,260.2460,,48,48.9,487.9420,,98,101.8,36.8790,,47,48.8,279.1160
mbx,,85,89.5,140.7220,,46,48.9,390.9290,,85,89.6,368.0690,,46,48.7,638.9610,,96,102.4,40.5200,,47,49.7,264.3120
mcb2100,,81,85.4,48.9790,,44,45.3,258.2110,,82,85.1,134.1540,,44,45.3,318.8060,,93,96.5,36.7080,,42,44.7,268.0700
moab,,92,95.6,89.0750,,49,52.1,334.4300,,93,95.8,521.1060,,49,51.2,790.9640,,101,106.7,43.0890,,49,51.2,301.2260
mpc50,,80,83.3,99.4740,,43,46.0,273.4900,,79,83.1,383.2820,,43,44.8,588.0080,,86,95.2,34.7800,,43,44.7,202.7190
nano,,92,96.9,331.0740,,50,53.5,575.0800,,92,97.3,141.9890,,49,52.8,415.8660,,106,108.5,44.3330,,52,54.3,299.7440
