Instances,,,CAmpactor,,,,Alt-1,,,,Alt-2,,,,Alt-3,
,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime
ipaq,,45,46.6,214.2650,,66,81.4,37.4890,,50,53.9,255.2280,,93,98.4,43.9290
iq80310,,46,49.4,267.9990,,73,83.6,38.0420,,53,57.5,289.6420,,96,100.9,36.3530
iq80321,,48,50.0,226.4180,,69,82.9,39.0010,,54,58.1,287.9650,,98,101.2,32.5620
ixdp425,,47,49.3,242.8000,,68,80.8,40.1090,,51,56.4,309.5480,,99,102.3,32.0710
jmr3904,,45,46.4,173.4720,,76,83.1,31.3260,,49,52.7,258.6270,,89,94.0,35.9440
jtst,,44,45.8,277.8560,,64,82.3,36.7750,,47,53.9,260.4180,,91,97.7,36.6610
linux,,51,53.9,279.1990,,72,80.1,49.5180,,55,59.6,321.5690,,103,109.8,33.8070
lpcmt,,43,45.9,270.4730,,68,77.4,39.3420,,48,51.9,267.0190,,94,99.3,30.5240
m5272c3,,50,51.9,276.8600,,69,83.9,54.9000,,53,57.8,362.7900,,100,107.4,39.6470
mac7100evb,,43,45.0,236.6980,,69,81.2,35.0190,,47,52.8,287.7620,,89,94.6,34.0190
mace1,,44,45.7,261.9790,,63,75.1,38.2400,,47,53.2,217.0210,,92,96.9,31.5270
malta_mips32_4kc,,47,49.9,244.1610,,75,86.7,40.3390,,51,55.8,344.0100,,99,105.5,43.1280
malta_mips64_5kc,,47,49.0,299.8100,,72,84.6,40.1290,,54,57.9,190.3190,,99,103.7,31.9600
mb93091,,47,48.4,307.0120,,71,80.9,41.5170,,55,58.1,222.1610,,95,101.6,33.9400
mb93093,,46,48.7,299.0760,,67,81.4,40.3740,,53,56.5,305.1770,,96,101.8,33.2170
mbx,,48,49.8,292.3810,,65,86.2,42.8630,,51,57.7,205.4920,,94,103.9,34.2580
mcb2100,,44,45.0,253.8680,,64,79.7,37.8190,,50,53.2,273.2760,,88,95.8,39.8340
moab,,49,51.2,320.4540,,73,90.7,43.1770,,54,57.7,289.4620,,98,107.1,37.5680
mpc50,,43,45.0,253.2570,,73,84.7,33.0250,,46,50.8,318.3050,,90,96.4,28.9680
nano,,51,53.6,331.0430,,70,90.2,46.2990,,56,60.1,255.3600,,104,108.5,40.4250
npwr,,47,48.8,324.4070,,67,80.0,43.0940,,54,57.8,248.4030,,96,101.0,35.7730
ocelot,,48,49.0,328.4790,,63,78.3,46.7110,,52,56.7,290.6450,,98,102.8,33.0380
olpce2294,,48,49.7,314.2180,,69,86.9,42.2710,,54,57.3,260.7020,,99,104.0,43.1770
olpch2294,,44,45.9,277.4770,,58,75.4,44.9810,,51,55.6,213.6840,,95,98.4,42.2110
olpcl2294,,48,50.1,280.4750,,72,85.7,44.1260,,55,59.1,239.9600,,101,105.8,34.0460
p2106,,43,45.2,275.0970,,61,76.5,42.4530,,49,52.2,280.8450,,94,98.4,35.0950
pati,,43,44.7,298.1170,,71,81.7,35.6760,,52,54.7,228.6030,,92,96.7,32.2510
pc_i82544,,48,49.8,314.1760,,70,86.4,42.8430,,54,59.3,350.4300,,96,104.0,48.2840
pc_i82559,,47,49.4,316.9590,,65,80.3,67.1400,,50,57.4,299.0820,,99,106.1,34.7620
pc_rltk8139,,53,55.0,306.3100,,68,89.2,49.7400,,56,61.5,299.6040,,106,110.3,36.8840
pc_usb_d12,,45,47.1,278.8120,,63,82.9,40.9010,,49,55.8,274.3290,,95,99.9,35.6690
pc_vmWare,,46,49.3,348.9530,,71,86.9,41.5400,,54,56.4,257.3530,,101,106.4,33.0710
phycore,,43,45.4,325.8150,,71,82.1,39.1370,,47,53.3,282.7270,,91,97.7,36.5240
phycore229x,,48,49.7,313.9900,,64,81.0,54.3520,,55,58.0,255.5530,,100,106.6,38.7750
picasso,,46,48.1,280.7770,,75,87.4,38.2880,,51,54.1,320.2720,,95,102.3,36.3260
pid,,44,45.1,264.9550,,59,74.6,39.9670,,49,52.3,226.0670,,90,96.7,31.5450
prpmc1100,,43,45.8,268.1140,,69,79.7,35.3370,,48,52.8,244.3700,,89,95.8,35.2070
psim,,42,45.3,229.3210,,66,74.2,33.6910,,49,53.6,202.2850,,86,93.5,30.7540
rattler,,51,52.8,367.0990,,84,91.8,47.3630,,56,59.4,323.5560,,104,110.9,38.6250
ref4955,,44,44.8,265.1530,,65,75.0,40.2550,,48,53.3,268.2280,,91,94.7,30.2010
refidt334,,52,54.6,252.8090,,79,89.1,43.1260,,51,59.4,372.5310,,100,107.3,37.1660
sa1100mm,,44,45.2,249.7290,,60,78.2,37.1060,,48,51.8,244.1210,,89,95.3,42.9080
sam7ex256,,47,50.3,293.1680,,79,88.4,45.4870,,55,59.3,319.6780,,101,104.7,37.5230
se7751,,52,54.2,337.9600,,86,98.5,44.5590,,54,59.5,259.6670,,109,113.8,39.4620
sh4_202_md,,51,53.4,321.9950,,84,92.7,41.7930,,54,57.6,340.3050,,102,109.0,37.8240
sh7708,,56,57.9,399.5370,,76,91.4,54.3270,,56,60.7,332.1000,,111,117.8,37.9440
skmb91302,,44,45.6,224.3600,,67,79.8,34.9670,,48,53.3,168.5740,,89,95.0,33.5430
sleb,,43,44.5,229.7460,,64,79.8,32.2280,,49,53.0,189.9660,,91,94.2,31.2400
smdk2410,,58,59.9,392.7330,,79,93.8,66.8190,,59,63.7,358.4680,,116,120.7,38.5800
snds,,46,49.1,229.6430,,70,80.1,38.2290,,51,55.2,317.2240,,100,102.8,30.7170
sparc_erc32,,44,45.2,211.3140,,68,76.5,31.5790,,48,52.8,233.5750,,90,92.6,30.1440
sparc_leon,,44,45.1,208.7640,,63,73.0,33.9430,,48,52.0,234.3920,,88,92.2,31.9240
sparclite_sim,,42,44.5,251.0600,,67,75.4,33.1780,,49,53.0,186.9290,,90,94.3,34.7850
stb,,44,45.8,282.9080,,63,80.2,39.7270,,51,54.8,216.7060,,95,99.8,35.6230
stdeval1,,43,45.5,267.3310,,69,79.9,34.7210,,48,54.1,213.7810,,91,97.8,27.9300
stm3210e_eval,,44,45.6,302.8460,,72,78.9,39.7240,,48,51.9,285.7220,,93,95.8,35.4650
toybox,,13,13.4,1.5970,,11,12.0,1.0950,,10,10.0,3.1390,,16,16.1,0.8710
ts1000,,47,48.8,316.8890,,63,87.1,44.6540,,50,56.4,301.4520,,102,105.5,35.0910
ts6,,48,49.4,258.8280,,66,81.6,41.2880,,49,56.8,263.1780,,95,102.9,33.4150
tx39_sim,,41,44.5,216.0910,,65,78.4,31.3530,,48,52.5,153.9700,,90,92.5,31.4630
uClinux-config,,36,37.6,3495.1810,,38,39.2,3435.1970,,37,38.6,3476.5470,,64,65.4,1507.6220
uClinux,,13,13.0,29.7130,,12,12.2,41.8430,,12,12.0,42.7280,,21,21.6,13.2460
uE250,,47,49.1,267.4040,,71,80.1,40.9620,,54,58.0,314.3330,,97,99.7,36.2460
vads,,47,49.7,250.6450,,69,83.8,39.7230,,54,57.2,358.8740,,95,100.5,39.2040
viper,,48,49.9,299.6340,,79,86.5,42.5390,,52,57.1,297.7310,,93,102.3,41.0610
vrc4373,,44,45.7,230.7590,,65,78.6,39.6160,,48,53.9,166.4000,,96,99.1,33.0720
vrc4375,,48,49.8,257.7870,,72,82.5,43.4900,,55,58.9,186.4040,,99,103.9,33.0900
AVERAGE,,45.3951612903226,47.4,284.6446,,67.0241935483871,79.8137096774194,67.3029,,49.8548387096774,54.3298387096774,278.6756,,93.2016129032258,98.55,46.0905
